issuer,issue_date,listing_date,issue_price,listing_day_close,listing_day_return,status
Glottis Limited,2025-09-29,2025-10-07,129.0,83.7,-0.3511627906976744,listed_alive
Om Freight Forwarders Limited,2025-09-29,2025-10-08,135.0,85.57,-0.3661481481481482,listed_alive
Vijaypd Ceutical Limited,2025-09-29,2025-10-07,35.0,35.9,0.025714285714285672,listed_alive
Suba Hotels Limited,2025-09-29,2025-10-07,111.0,161.9,0.4585585585585586,listed_alive
Pace Digitek Limited,2025-09-26,2025-10-06,219.0,217.99,-0.00461187214611868,listed_alive
Manas Polymers and Energies Limited,2025-09-26,2025-10-06,81.0,146.2,0.8049382716049381,listed_alive
Jinkushal Industries Limited,2025-09-25,2025-10-03,121.0,121.66,0.005454545454545426,listed_alive
TruAlt Bioenergy Limited,2025-09-25,2025-10-03,496.0,530.95,0.07046370967741945,listed_alive
BMW Ventures Limited,2025-09-24,2025-10-01,99.0,74.1,-0.2515151515151516,listed_alive
Jain Resource Recycling Limited,2025-09-24,2025-10-01,232.0,318.06,0.37094827586206897,listed_alive
Epack Prefab Technologies Limited,2025-09-24,2025-10-01,204.0,190.66,-0.06539215686274512,listed_alive
Gurunanak Agriculture India Limited,2025-09-24,2025-10-01,75.0,57.0,-0.24,listed_alive
Solarworld Energy Solutions Limited,2025-09-23,2025-09-30,351.0,323.5,-0.07834757834757834,listed_alive
Seshaasai Technologies Limited,2025-09-23,2025-09-30,423.0,411.45,-0.027304964539007118,listed_alive
Jaro Institute of Technology Management and Research Limited,2025-09-23,2025-09-30,890.0,744.25,-0.16376404494382021,listed_alive
Anand Rathi Share and Stock Brokers Limited,2025-09-23,2025-09-30,414.0,445.55,0.07620772946859906,listed_alive
Matrix Geo Solutions Limited,2025-09-23,2025-09-30,104.0,99.15,-0.04663461538461533,listed_alive
Ecoline Exim Limited,2025-09-23,2025-09-30,141.0,140.5,-0.0035460992907801418,listed_alive
Ganesh Consumer Products Limited,2025-09-22,2025-09-29,322.0,294.3,-0.08602484472049686,listed_alive
Atlanta Electricals Limited,2025-09-22,2025-09-29,754.0,823.35,0.09197612732095493,listed_alive
Prime Cable Industries Limited,2025-09-22,2025-09-29,83.0,78.3,-0.05662650602409642,listed_alive
GK Energy Limited,2025-09-19,2025-09-26,153.0,167.74,0.0963398692810458,listed_alive
Saatvik Green Energy Limited,2025-09-19,2025-09-26,465.0,,,listed_alive
Siddhi Cotspin Limited,2025-09-19,2025-09-26,108.0,82.1,-0.23981481481481487,listed_alive
Ivalue Infosolutions Limited,2025-09-18,2025-09-25,299.0,281.85,-0.0573578595317725,listed_alive
VMS TMT Limited,2025-09-17,2025-09-24,99.0,99.65,0.006565656565656623,listed_alive
Euro Pratik Sales Limited,2025-09-16,2025-09-23,247.0,248.38,0.005587044534412937,listed_alive
TechD Cybersecurity Limited,2025-09-15,2025-09-22,193.0,385.0,0.9948186528497409,listed_alive
Urban Company Limited,2025-09-10,2025-09-17,103.0,166.83,0.6197087378640778,listed_alive
Shringar House of Mangalsutra Limited,2025-09-10,2025-09-17,165.0,184.88,0.12048484848484846,listed_alive
Dev Accelerator Limited,2025-09-10,2025-09-17,61.0,64.05,0.049999999999999954,listed_alive
Galaxy Medicare Limited,2025-09-10,2025-09-17,54.0,51.3,-0.05000000000000005,listed_alive
Taurian MPS Limited,2025-09-09,2025-09-16,171.0,220.5,0.2894736842105263,listed_alive
Vigor Plast India Limited,2025-09-04,2025-09-12,81.0,85.7,0.058024691358024724,listed_alive
Optivalue Tek Consulting Limited,2025-09-02,2025-09-10,84.0,102.6,0.22142857142857136,listed_alive
Amanta Healthcare Limited,2025-09-01,2025-09-09,126.0,141.75,0.125,listed_alive
Snehaa Organics Limited,2025-08-29,2025-09-05,122.0,115.9,-0.049999999999999954,listed_alive
Anlon Healthcare Limited,2025-08-26,2025-09-03,91.0,91.73,0.008021978021978066,listed_alive
Vikran Engineering Limited,2025-08-26,2025-09-03,97.0,95.71,-0.013298969072165013,listed_alive
Current Infraprojects Limited,2025-08-26,2025-09-03,80.0,152.75,0.909375,listed_alive
Sattva Engineering Construction Limited,2025-08-26,2025-09-03,75.0,99.85,0.33133333333333326,listed_alive
Classic Electrodes (India) Limited,2025-08-22,2025-09-01,87.0,95.0,0.09195402298850575,listed_alive
Shivashrit Foods Limited,2025-08-22,2025-09-01,142.0,141.45,-0.0038732394366197986,listed_alive
Anondita Medicare Limited,2025-08-22,2025-09-01,145.0,289.25,0.9948275862068966,listed_alive
ARC Insulation & Insulators Limited,2025-08-21,2025-08-29,125.0,137.75,0.102,listed_alive
Mangal Electrical Industries Limited,2025-08-20,2025-08-28,561.0,535.35,-0.0457219251336898,listed_alive
Gem Aromatics Limited,2025-08-19,2025-08-26,325.0,319.05,-0.01830769230769227,listed_alive
Shreeji Shipping Global Limited,2025-08-19,2025-08-26,252.0,255.1,0.012301587301587279,listed_alive
Vikram Solar Limited,2025-08-19,2025-08-26,332.0,356.4,0.0734939759036144,listed_alive
Patel Retail Limited,2025-08-19,2025-08-26,255.0,287.7,0.128235294117647,listed_alive
Studio LSD Limited,2025-08-18,2025-08-25,54.0,41.05,-0.23981481481481487,listed_alive
Regaal Resources Limited,2025-08-12,2025-08-20,102.0,131.58,0.29000000000000015,listed_alive
Mahendra Realtors & Infrastructure Limited,2025-08-12,2025-08-20,85.0,64.6,-0.24000000000000007,listed_alive
